lat,lon
39.6971931,20.8219738
39.6973076,20.8218536
39.6974258,20.8217392
39.6975479,20.8216171
39.69767,20.8214874
39.6977921,20.8213634
39.6979218,20.8212318
39.6980476,20.821106
39.6981773,20.8209763
39.6983032,20.8208504
39.6984215,20.8207188
39.6985512,20.8205872
39.6986809,20.8204575
39.6988106,20.820322
39.6989441,20.8201904
39.6990662,20.8200569
39.6991959,20.8199272
39.6993217,20.8197956
39.6994476,20.8196697
39.6995735,20.8195343
39.6996956,20.8194008
39.6998253,20.8192673
39.6999474,20.8191338
39.7000771,20.8189964
39.7001953,20.8188572
39.7003326,20.8187218
39.7004547,20.8186016
39.700592,20.8184738
39.7007217,20.8183479
39.7008514,20.8182182
39.700985,20.8180904
39.7011147,20.8179588
39.701252,20.8178234
39.7015228,20.8175449
39.7017708,20.8172989
39.7019043,20.8171673
39.7021446,20.816927
39.7022705,20.8168068
39.7023926,20.8166828
39.702507,20.8165531
39.7026215,20.8164349
39.7027321,20.8163147
39.7028427,20.8161945
39.7029495,20.8160801
39.7030602,20.8159676
39.703167,20.8158569
39.7032738,20.8157501
39.7033768,20.8156433
39.7034798,20.8155422
39.7035828,20.8154449
39.7036781,20.8153458
39.7037773,20.8152485
39.7038689,20.8151512
39.7039642,20.8150539
39.7041397,20.8148785
39.7042274,20.8147945
39.7043152,20.8147144
39.7043953,20.8146362
39.704483,20.8145561
39.7045708,20.814476
39.7046547,20.8144016
39.7047386,20.8143253
39.7048187,20.8142567
39.7048988,20.8141899
39.7049751,20.8141289
39.7050514,20.8140697
39.7051201,20.8140125
39.7051849,20.8139553
39.7052612,20.8138943
39.7053719,20.8138084
39.705471,20.8137398
39.7055168,20.8137093
39.705555,20.8136845
39.7055855,20.8136616
39.7056198,20.8136349
39.705677,20.8135853
39.7057037,20.8135586
39.7057228,20.8135376
39.7057419,20.8135166
39.7057571,20.8134975
39.7057648,20.8134766
39.70578,20.8134594
39.7057838,20.8134384
39.7057915,20.8134232
39.7057953,20.813406
39.7057953,20.8133926
39.7057953,20.8133812
39.7057953,20.8133698
39.7057953,20.8133583
39.7057915,20.8133488
39.7057838,20.8133392
39.7057762,20.8133259
39.7057686,20.8133221
39.7057571,20.8133202
39.7057495,20.8133183
39.7057419,20.8133183
39.7057381,20.8133221
39.7057343,20.813324
39.7057266,20.813324
39.7057304,20.813324
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.813324
39.7057304,20.813324
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.813324
39.7057304,20.813324
39.7057304,20.813324
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.813324
39.7057304,20.813324
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
39.7057304,20.8133259
